Gary Harris$Wraithshade Family$Thomas Morris                                    $6{Jason Phillips,Mark Cooper,Larry Stewart,Timothy Howard,Justin Young,Kevin Cooper,Jeffrey Roberts,Benjamin Carter,Steven Adams,Daniel Miller,David Morris,Justin Turner,Jason Turner}$Benjamin Bell|David Black|Robert Reed|Larry Roberts|Brian Sanchez|Jeffrey Bailey|Gary Campbell|Jonathan Turner|Charles Phillips|Brandon Scott
Brian Perez$Stormshade Family$Joseph Cooper                                    $1{Ryan Reed,Donald Baker,Scott Adams,Kenneth Evans,Joshua Bailey,George Black,Stephen Hill,Jeffrey Bailey,Larry Stewart,Brian Morris,Nicholas Turner,Michael Sanchez,Daniel Miller,Jason Turner,Michael Miller,Anthony Young,Ronald Black,Robert Rogers,Mark Murphy}$William Roberts|Andrew Harris|Kevin Perez|Brandon Nelson|Steven Roberts|Edward Green|Thomas Morris|Brandon Scott|Kevin Cooper|Eric Parker|James Cook|Ronald Collins|Eric Miller|Charles Phillips|Thomas Rivera
Joshua Scott$Ruinfall Family$Joshua White                                     $6{Edward Edwards,Timothy Howard,Edward Hill,Charles Phillips,Ronald Stewart,Paul Lopez,Scott Cook}$Daniel Roberts|Jason Sanchez|Brian Adams|Robert Rogers|Brian Sanchez|Gary Campbell|Kevin Perez|Mark Cooper|Robert Reed|Stephen Howard|Brian Perez|Ronald Roberts
Steven Roberts$Rotfall Family$Jacob Morris                                     $0{Michael Cooper,James Turner,Ronald Black,Stephen White,Daniel Adams,Kevin Cooper,Scott Walker,Andrew Harris,Donald Baker,Eric Miller,Donald Morris,Brian Sanchez,Eric Perez,Ryan Green}$Joseph Perez|Edward Hill
Eric Perez$Ruinfen Family$William Roberts                                  $3{Gary Harris,Brian Adams,Nicholas Morris,Richard Baker}$Ryan Reed|Steven Adams|Scott Walker|Daniel Green|Daniel Roberts|Timothy Howard|Michael Cooper|Daniel Adams|Ronald Black|Donald Baker|Timothy Hill
David Morris$Ironcliff Family$Jason Wright                                     $5{Michael Campbell,Larry Roberts,Michael Sanchez,Ryan Green,George Black}$Steven Adams|Michael Cooper|Jeffrey Baker|Ronald Black|Stephen White|Brian Sanchez|Robert Rogers|Jonathan Carter
Jason Wright$Dreadfen Family$Donald Baker                                     $8{Matthew Carter,Jonathan Carter,Stephen Rogers,Mark Cooper,David Adams,James Turner,William Morris,Joseph Reed,Paul Walker,George Black,Larry Roberts,Joshua Bailey,Michael Sanchez,David Black,Thomas Roberts,Scott Cook,Jason Edwards,Brandon Scott}$Nicholas Turner|Donald Morris|Jeffrey Roberts|Benjamin Carter|Michael Howard|Scott Adams|Ronald Mitchell|Mark Murphy|Brian Sanchez|Thomas Morris|Donald Baker
Stephen Howard$Darkmoor Family$Stephen White                                    $0{Jacob Morris,Benjamin Carter,Thomas Roberts,Nicholas Turner,Ronald Stewart,Jeffrey Baker,Mark Carter,Jason Sanchez,Jason Turner,Paul Lopez,Michael Cooper,Jonathan Carter,Michael Campbell,Brandon Scott,Joseph Perez,Michael Howard,Daniel Roberts,Brandon Nelson,Scott Adams}$Brian Perez|Jeffrey Roberts|David Morris|Paul Rogers|David Adams
Ryan Reed$Ironspire Family$Jonathan Turner                                  $6{Brandon White,Thomas Morris,Edward Green,Robert Rogers,Gary Harris,Jonathan Carter,Jacob Morris,James Cook,Charles Phillips,Brandon Nelson,James Walker,Gary Murphy,Mark Cooper,George Black}$Steven Roberts|Joshua Scott|Brian Sanchez|Anthony Young|Thomas Rivera|Robert Reed|David Scott|Justin Turner|Jason Wright|Donald Baker
Mark Cooper$Gravemoor Family$Richard Baker                                    $0{Edward Green,Edward Bailey,Justin Young,Brian Morris,Daniel Green,Joshua White,Stephen Howard,Stephen Rogers,Jason Wright,Jason Edwards,William Roberts,Donald Baker}$Daniel Adams|Nicholas Turner|Daniel Roberts|Ronald Roberts|Thomas Roberts|Kevin Perez|Michael Campbell|Ronald Stewart|Paul Rogers
William Morris$Ironcliff Family$Richard Baker                                    $6{Gary Harris,Scott Adams,Brian Morris,Jacob Morris,William Roberts,James Walker,Brian Adams,Mark Murphy,Joshua Bailey,Daniel Miller,Daniel Adams,Daniel Roberts,Jeffrey Roberts}$Timothy Morgan|Ryan Green|Thomas Morris|Ryan Reed|Kevin Cooper|Ronald Roberts|Thomas Roberts
Justin Turner$Hollowfen Family II$Brian Adams                                      $1{Edward Hill,Brian Perez,Daniel Bell,Paul Lopez,Timothy Hill,Thomas Roberts,Joshua White,Gary Campbell,Kenneth Lopez,Jason Turner,Jonathan Turner,Joshua Scott,Brian Morris,Jason Wright,Donald Baker,Eric Miller,Ronald Black,Robert Rogers}$Andrew Harris|William Adams|Timothy Morgan|Ronald Roberts|Michael Cooper|Jeffrey Baker|William Morris|Brandon White|Justin Young|Scott Cook
Ronald Roberts$Wraithwick Family$Brandon White                                    $2{Larry Roberts,Brian Sanchez,Michael Sanchez,Matthew Carter,Brandon Scott,Richard Baker,Benjamin Bell,Daniel Green,Scott Adams,Thomas Morris}$Charles Phillips|Scott Walker|Joshua Scott|Stephen Howard
Eric Parker$Ruinwick Family$Benjamin Bell                                    $3{Eric Perez,Ronald Mitchell,Jason Edwards,James Cook,David Scott,Thomas Roberts,Scott Adams,Daniel Green,Justin Young,Daniel Bell,Daniel Black}$Edward Bailey|Ronald Roberts|Nicholas Turner|Donald Morris|Ronald Stewart|Brandon White
Paul Walker$Hollowfen Family II$Stephen Howard                                   $7{Jonathan Carter,Paul Lopez,Eric Miller,Stephen White,Eric Parker,Stephen Hill,George Black,Gary Harris,Matthew Carter,Michael Howard,Richard Baker,James Turner,Jonathan Turner}$Robert Reed|Ronald Mitchell|James Walker|Charles Phillips|Jacob Morris|David Morris|Jason Turner|David Scott
Scott Adams$Wraithfen Family$Brandon White                                    $5{David Scott,Ronald Black,Stephen Howard,Donald Morris,Jeffrey Roberts,Edward Bailey,Brian Adams,Edward Edwards,Michael Howard,Paul Walker,Daniel Green,Stephen Rogers,Stephen Hill,Brandon Scott}$Larry Stewart|Daniel Bell|Eric Perez|Jason Sanchez|Charles Phillips|Brian Sanchez|Justin Young|Ronald Stewart|Daniel Adams
Kevin Cooper$Bloodwick Family$Jason Phillips                                   $0{Mark Murphy,Thomas Roberts,Nicholas Turner,Joseph Reed,Ryan Reed}$Donald Morris|Ryan Green|Eric Parker|Jason Edwards|Daniel Green|Jason Sanchez|Stephen Hill
William Adams$Dreadmoor Family$Scott Adams                                      $5{Andrew Harris,Michael Sanchez,Ronald Stewart,Ronald Roberts,William Roberts,Stephen Howard,Scott Walker,Edward Edwards,Larry Stewart}$Ronald Mitchell|Brandon White|Nicholas Morris|Jason Turner|Jonathan Turner|Ronald Black|Timothy Hill|Edward Bailey|Daniel Black|Michael Howard|Robert Reed|Jeffrey Bailey|Kenneth Lopez
Jacob Morris$Thornwick Family$Matthew Carter                                   $2{Ronald Mitchell,Michael Cooper}$Edward Edwards|Michael Sanchez|Mark Carter|Ryan Green|Daniel Adams|Jeffrey Roberts
Jonathan Carter$Ruinfen Family$Larry Roberts                                    $1{Jeffrey Baker,Jason Turner,Brandon Scott,Kevin Cooper,Joshua Bailey,James Cook,Andrew Harris,Kevin Perez,Mark Carter,Brian Perez,Joshua White,Michael Campbell,Gary Murphy}$Mark Cooper|Stephen Rogers
